runtime,title,directors,genres
81.0,Toy Story,John Lasseter,"Adventure,Animation,Comedy"
104.0,Jumanji,Joe Johnston,"Adventure,Comedy,Family"
101.0,Grumpier Old Men,Howard Deutch,"Comedy,Romance"
127.0,Waiting to Exhale,Forest Whitaker,"Comedy,Drama,Romance"
106.0,Father of the Bride Part II,Charles Shyer,"Comedy,Family,Romance"
170.0,Heat,Michael Mann,"Action,Crime,Drama"
127.0,Sabrina,Sydney Pollack,"Comedy,Drama,Romance"
97.0,Tom and Huck,Peter Hewitt,"Adventure,Drama,Family"
106.0,Sudden Death,Peter Hyams,"Action,Crime,Thriller"
130.0,GoldenEye,Martin Campbell,"Action,Adventure,Thriller"
106.0,The American President,Rob Reiner,"Comedy,Drama,Romance"
88.0,Dracula: Dead and Loving It,Mel Brooks,"Comedy,Fantasy,Horror"
78.0,Balto,Simon Wells,"Adventure,Animation,Drama"
192.0,Nixon,Oliver Stone,"Biography,Drama,History"
119.0,Cutthroat Island,Renny Harlin,"Action,Adventure,Comedy"
178.0,Casino,Martin Scorsese,"Crime,Drama"
136.0,Sense and Sensibility,Ang Lee,"Drama,Romance"
98.0,Four Rooms,"Allison Anders, Alexandre Rockwell, Robert Rodriguez, Quentin Tarantino, Chuck Jones",Comedy
90.0,Ace Ventura: When Nature Calls,Steve Oedekerk,"Adventure,Comedy,Crime"
103.0,Money Train,Joseph Ruben,"Action,Comedy,Crime"
105.0,Get Shorty,Barry Sonnenfeld,"Comedy,Crime,Thriller"
124.0,Copycat,Jon Amiel,"Drama,Mystery,Thriller"
132.0,Assassins,Richard Donner,"Action,Crime,Thriller"
111.0,Powder,Victor Salva,"Drama,Fantasy,Mystery"
112.0,Leaving Las Vegas,Mike Figgis,"Drama,Romance"
123.0,Othello,Oliver Parker,"Drama,Romance"
100.0,Now and Then,Lesli Linka Glatter,"Comedy,Drama,Romance"
104.0,Persuasion,,
108.0,The City of Lost Children,"Marc Caro, Jean-Pierre Jeunet","Adventure,Drama,Fantasy"
108.0,Shanghai Triad,Yimou Zhang,"Crime,Drama,History"
99.0,Dangerous Minds,John N. Smith,"Biography,Drama"
129.0,Twelve Monkeys,Terry Gilliam,"Mystery,Sci-Fi,Thriller"
